"","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset"
"SLC22A20P",-1.09946256361444,0.00850005825046696,0.131728693110681,0.936257862281675,0,-11.9253050020032,0,0,-1.59651141602655,1
"CT45A5",-0.486583052929601,0.00812348957982917,0.0226963401917658,0.988715977504455,0,-5.39865612145075,6.71419262410211e-08,7.78622003830839e-07,-1.17228586710534,1
"HLA-DMA",0.900717284206653,0.00834458970716848,0.244651250903289,0.884860188587265,0,9.8602063270917,0,0,1.20528721616132,1
"HLA-DMB",0.835725962610113,0.00830086361588746,0.274231479062247,0.871869310547057,0,9.17280698064645,0,0,1.4188021470987,1
"HLA-DOA",1.04750668330832,0.00898735676860639,2.08652969670442,0.352302587752611,0.00126827969285487,11.049453828291,0,0,2.01260078147061,1
"HLA-DPA1",0.838898316915716,0.00830295963260977,0.487420844758771,0.7837145476007,0,9.20646401179546,0,0,1.59094780368438,1
"HLA-DPB1",0.873600103279086,0.0083259999833752,0.0768823638590356,0.962288303016531,0,9.57402316301532,0,0,1.56836632828064,1
"CT45A1",-0.5129529119002,0.00813363226561086,0.0384445090541817,0.980961314919559,0,-5.68768103065625,1.28776060925873e-08,1.83138403913799e-07,-1.21256767968745,1
"HLA-DPB2",0.641998380492783,0.00819115684948308,0.217629868504515,0.896896386940629,0,7.09351206004105,1.30739863379858e-12,5.58884160846978e-11,1.20215505869024,1
"HLA-DQA1",0.856792723363963,0.00831564262680307,0.443736086865945,0.801021057349907,0,9.39567229721978,0,0,2.02834449017723,1
"HLA-DQA2",0.500314318145021,0.00812947964933681,0.665869065323159,0.716817120728632,0,5.54895953405666,2.8737467738793e-08,3.69802690674314e-07,1.25744726040625,1
"HLA-DQB1",0.708500449903685,0.00822619079151476,0.355993892538368,0.83694497928954,0,7.81161339373124,5.55111512312578e-15,4.25887395525287e-13,1.88852912732635,1
"HLA-DQB2",0.905323669646076,0.00835030268775869,0.318622917756958,0.852730727048678,0,9.9072418742068,0,0,1.66308571055555,1
"HLA-DRA",0.737021112883853,0.0082427798352184,1.53049633513922,0.465218464511714,0,8.11788844399163,4.44089209850063e-16,4.09714456454706e-14,1.176522375079,1
"DPY19L2P1",-0.592342645086808,0.00817202357267739,0.792514143489897,0.672833707167915,0,-6.55251758273553,5.65749669334537e-11,1.50217357557187e-09,-1.01813126539616,1
"HLA-DRB1",0.729188957325218,0.00823772126026116,1.05482719153077,0.590129310495464,0,8.03408712051708,8.88178419700125e-16,7.7526807329154e-14,1.32337778437444,1
"HLA-DRB5",0.637796544077353,0.00819058369517941,1.17779571430166,0.554938569387104,0,7.04733206197716,1.82387438485421e-12,7.4472316268963e-11,1.34496772070296,1
"HLA-DRB6",0.664246206884511,0.00820241651697335,0.722686950987523,0.69673964436972,0,7.33429161360493,2.22932783344731e-13,1.12058316648833e-11,1.32338078368087,1
"AOX1",1.22725182910938,0.10269938301581,20.2354523548746,4.03577877289117e-05,0.27040460378567,3.82956787025982,0.000128368476658647,0.000598409748721808,2.04041186025703,1
"HOXA11",-0.624502003805278,0.00818304748344101,0.00845215880881549,0.995782837902986,0,-6.90361081752657,5.06972241964831e-12,1.81575783074235e-10,-2.09829974799047,1
"HOXB7",-0.399273408371278,0.0080976618078599,1.46895144335611,0.479756919204103,0,-4.43701165687756,9.12163557087453e-06,5.91749362334838e-05,-1.018079943641,1
"HOXB8",-0.556308529334242,0.0081525783071692,0.165840506660663,0.92042454508562,0,-6.16124145882767,7.2176842280669e-10,1.44920362248666e-08,-1.95456941621394,1
"HOXB9",-0.627675978563318,0.00818544475425075,0.119609979645476,0.941948205161214,0,-6.93768165052509,3.98592270300924e-12,1.46724230408499e-10,-2.22369688940121,1
"HTR1F",0.821980217828155,0.00829296954278957,0.662083071790514,0.718175338365422,0,9.02622864553378,0,0,2.30289573091079,1
"IRF8",0.604984341891497,0.0229202857021704,4.74607672742278,0.093197128885806,0.038854876930693,3.99607951227078,6.44001116438808e-05,0.000328237911689808,1.22403179544623,1
"GXYLT2",-0.49182467375085,0.00812877463003751,0.579068998327255,0.748611965978682,0,-5.45503788482469,4.89624054633708e-08,5.86462600196842e-07,-1.15587143131749,1
"MAGED4",0.548926302943492,0.00815047089539358,0.351416253094408,0.838862789387903,0,6.08026756377285,1.19982157542609e-09,2.27435619050534e-08,1.01676294660115,1
"CCDC169",-0.869891547312619,0.00832377277273971,0.169371327149406,0.918801051652182,0,-9.53465542959846,0,0,-1.18562512725248,1
"CCR2",0.458419390460739,0.0204477793057494,4.29326678065386,0.116876975326485,0.0322024197844735,3.2058256898421,0.0013467554333022,0.00455702273705809,1.23500679320992,1
"FAM160A1",0.892948155086002,0.031390810359941,6.31178761033499,0.0426003075960854,0.0622274631317094,5.03993552576073,4.65688705153511e-07,4.3073250349129e-06,1.58925008987475,1
"IGFBP2",-0.764712686475911,0.00825923414729544,0.113642340042619,0.944763006208855,0,-8.41450176612372,0,0,-1.8646354308545,1
"IGLL1",-0.680708348519019,0.00821233120984436,0.387310330908172,0.82394197894455,0,-7.5115203606502,5.83977310952832e-14,3.44641184686617e-12,-2.04019614090966,1
"IL2RA",0.715663091011192,0.00823832607728671,1.77395412414964,0.411899017811321,0,7.88477184587287,3.10862446895044e-15,2.50355905435859e-13,1.46745634931285,1
"CXCR2P1",0.49107855808114,0.00863545058080329,2.08599322222604,0.352397101101543,0.00120851938304532,5.28455558601853,1.26010284207112e-07,1.36053817700465e-06,1.134304876696,1
"IL10RA",0.678170308263723,0.00821015276621022,0.735097523646886,0.692429561857388,0,7.48450619978518,7.17204073907851e-14,4.03655744608291e-12,1.05098156403688,1
"IL12RB2",0.802086382476668,0.0082835416083937,1.23129882461143,0.540289910438213,0,8.81278376306946,0,0,1.87785310430172,1
"IL15",0.863296827530115,0.00832112914363867,1.6763717858168,0.432494403357242,0,9.46387540014276,0,0,1.55024720952611,1
"APP",0.899770967353128,0.00834436951274563,0.453997675294171,0.796921708593872,0,9.84997689944643,0,0,2.45669174025214,1
"ISG20",0.856462312197188,0.00831698973873165,1.44899420642736,0.48456819547899,0,9.39128832521719,0,0,1.01751554570964,1
"ITGA9",0.579859111916689,0.00816489310671566,1.79264304752922,0.408067970632998,0,6.41722452153444,1.38781208747218e-10,3.34382426431108e-09,1.14214520389758,1
"ITPKA",-0.691993877089428,0.00821936126707459,1.82142671356989,0.40223718304081,0,-7.63278829769432,2.28705943072782e-14,1.49499844492016e-12,-1.05808141140134,1
"KCNA3",0.866847164018894,0.0424426997894593,8.54223926885941,0.013966137427912,0.0941307643075351,4.20766380227616,2.5802436079525e-05,0.000147152625481704,1.27556967390766,1
"KCNA5",0.918849294624781,0.0323321296655791,6.48474047586099,0.0390711772743775,0.0648742784717956,5.11007330659487,3.22033834931901e-07,3.10468730939307e-06,1.60373941504679,1
"AR",0.550629004930178,0.00815098354717807,1.53334624576763,0.46455602107668,0,6.098936003414,1.06776809616349e-09,2.05341102081467e-08,1.62419503529132,1
"KRT5",0.673579013352744,0.00820875793571254,1.62649430189616,0.44341588768434,0,7.43446673973563,1.0502709812954e-13,5.71261197550113e-12,1.49172162460037,1
"KRT8",-0.506922063386376,0.0081339270045604,1.8133939845687,0.403855962812329,0,-5.62070844891558,1.90175977188289e-08,2.5787862506732e-07,-1.0759320444067,1
"KRT17",-0.460737503395863,0.00811608288711844,1.40554443312956,0.495210568199227,0,-5.11423085196142,3.15021906782675e-07,3.05218453090664e-06,-1.21609800766927,1
"KRT18",-0.516357486729153,0.00813809425267214,1.99656392219481,0.368512015600985,0,-5.7238615524359,1.04129618261339e-08,1.51034571681149e-07,-1.37402493976398,1
"LAMA3",0.77885330119174,0.0172416793331557,3.60563559954351,0.164833764672356,0.0229880595075265,5.93151841671987,3.00145885923087e-09,5.05222468718341e-08,1.69064449666174,1
"LMX1B",-0.604628161969287,0.00817547617581674,0.297619995848459,0.861732830371856,0,-6.68700800271842,2.27780017070245e-11,6.83199446261926e-10,-1.38639254848707,1
"LRP1",0.407273968312522,0.00809987366877608,1.41115798137987,0.493822572795912,0,4.52530160403539,6.03094349882483e-06,4.12543704281415e-05,1.07337264052755,1
"LRP6",1.06516125665159,0.00847046644322651,1.73127024402434,0.420784218421895,0,11.5734195800975,0,0,2.52170465793733,1
"LSP1",0.693578449674864,0.00821938291555674,1.05943650382293,0.588770831367975,0,7.65025627798851,1.99840144432528e-14,1.33016885177761e-12,1.00779215042508,1
"LTK",-0.795081565366806,0.00827847777315164,1.59228884528306,0.451064730738769,0,-8.73849094504048,0,0,-1.68897187315975,1
"TM4SF1",0.477810762191897,0.00812104347936324,0.0778219258514836,0.961836344427976,0,5.3021255800805,1.14462056055586e-07,1.25641068608606e-06,1.34381528098874,1
"EPCAM",-0.408470436111332,0.00809698738265371,0.0340282996585592,0.983129773418036,0,-4.53940464574249,5.64132843927645e-06,3.88810682583998e-05,-1.02915134890291,1
"SMAD1",0.845905114058649,0.0210610831857047,4.31406859374225,0.115667648777101,0.0332785617073301,5.82882878780563,5.5817734878616e-09,8.71151093496344e-08,1.37195629500061,1
"MAN1A1",0.943482113466658,0.026294558198286,5.29195307142826,0.0709360483209317,0.0476667245311807,5.81836191903884,5.94271210019315e-09,9.19606308752819e-08,1.21604756626051,1
"MAOA",-0.570181790295887,0.00815744368158086,0.0978121287512492,0.952270577628549,0,-6.31300744087601,2.73664424454978e-10,6.09039132103849e-09,-1.1180351035267,1
"MDFI",-0.365535394970224,0.0080844288685023,0.55440299011869,0.757901768262197,0,-4.06541386670943,4.79473000729591e-05,0.000253142989193598,-1.09154592030052,1
"MDK",0.682461219866116,0.00821248548636025,0.155088880898812,0.925385898917604,0,7.53079231183079,5.04041253179821e-14,3.02362524592685e-12,1.01074589356083,1
"MFAP4",0.714875068043357,0.0102314076725183,2.34100364573901,0.310211231109146,0.00485651537668422,7.06744530408017,1.5780710072022e-12,6.53509689545069e-11,1.69423072293477,1
"CIITA",0.733446201270469,0.0082407839570431,1.56481395492722,0.457303965198963,0,8.07949095767541,6.66133814775094e-16,5.95719792513898e-14,1.16738204988666,1
"MLLT3",1.07856051198127,0.00848038200488959,1.05457465600403,0.590203829508174,0,11.7121549135033,0,0,1.80112217549275,1
"MMP2",-0.34548758470195,0.00807887016743975,0.393587516907819,0.821360014404616,0,-3.84376768209461,0.000121159708452501,0.000568440640525299,-1.05401551812728,1
"MMP15",-0.605384084709391,0.00817551936973169,0.857953400924813,0.65117510108303,0,-6.6953505969251,2.15154560834208e-11,6.52039092158055e-10,-1.17452752087661,1
"MMP19",-0.487741446206551,0.00812464864711928,0.711176118725707,0.700761232814279,0,-5.41112251737678,6.26309017981441e-08,7.32133645157616e-07,-1.12132507623069,1
"MN1",0.79550248386997,0.00827602075147289,0.30781411205041,0.857351702983493,0,8.74441487901819,0,0,1.83337461360968,1
"CD200",0.760347300128393,0.0082553493195363,0.898855232860313,0.637993223970171,0,8.36843564643082,0,0,1.8027654968081,1
"MPO",-0.480780289047364,0.0131095114108164,2.88487936971461,0.236350434148307,0.0124458180902283,-4.19907277226821,2.6801018427447e-05,0.000152311284840895,-1.26179631727786,1
"MSR1",0.614760317230288,0.00818470055506881,1.32668805979155,0.515125854813238,0,6.79523418616558,1.0813572259849e-11,3.48737705380131e-10,1.75826481825339,1
"MST1R",1.27142465542527,0.117896297886653,23.1676045083323,9.31576665366783e-06,0.315288265462998,3.70288773391127,0.000213159225308068,0.000922024340449766,1.8158068871358,1
"MX1",0.643273700811881,0.00819365881093871,1.50337213137476,0.471570782753327,0,7.10651796897815,1.19015908239817e-12,5.14805606650388e-11,1.0420891084409,1
"MYCL",0.422343309386148,0.00810378709520048,1.21830103484696,0.543812632272843,0,4.69160680272773,2.71067703883077e-06,2.05906926498364e-05,1.04792660831725,1
"MYLK",0.829269353191933,0.0354485141129303,7.15500517899743,0.0279454023204034,0.0739954203745178,4.40449983323752,1.0602822254846e-05,6.74205123702243e-05,1.49865332501216,1
"NEFH",-0.524513023560202,0.00813818911478533,0.0874552503383054,0.957214643145838,0,-5.81423240436911,6.0912739296981e-09,9.34657895507466e-08,-1.34457154341378,1
"NOS2",0.807769613270269,0.0421772003586172,8.52693817865716,0.0140733957613921,0.0935080487075549,3.93322361015764,8.38142006602816e-05,0.000410951766910503,1.00047096700726,1
"NOVA1",0.691296641148202,0.0398973034090084,8.13181186238906,0.0171474478270319,0.0871695925316645,3.46092888101979,0.000538315004468215,0.00205223486638556,1.23361039829438,1
"NPR3",0.841863591694961,0.0114952686429136,2.54457394889879,0.280190100885345,0.00783100082141837,7.85203388869024,3.99680288865056e-15,3.13233310257308e-13,2.33274712290513,1
"NPTX1",-0.638654429506205,0.00819484954361662,0.95453433720923,0.62047673524339,0,-7.05497430683671,1.72639680329212e-12,7.08892569058851e-11,-1.38678875322401,1
"PCSK6",0.695457487070743,0.0326288382318708,6.65343302933079,0.03591082436225,0.0661858212159368,3.85008024699838,0.000118079131446791,0.000556675129074991,1.34321785294857,1
"PAWR",0.566361681879223,0.00815638064816831,0.0779528334709571,0.961773390635195,0,6.27112012660299,3.58459928406774e-10,7.6955381095516e-09,1.42929058940747,1
"PCDHGC3",0.647407929550514,0.0299046448653709,6.12273274714734,0.0468236728614997,0.05848885500719,3.74376594783382,0.000181282530471449,0.000803941419739068,1.28468990115689,1
"PCDH9",-0.586880389999435,0.0081713335770041,1.33839114091399,0.5121203768934,0,-6.49236799632912,8.44975200919862e-11,2.14212234848849e-09,-1.22765721923005,1
"PDE9A",0.564908953599379,0.00815742659173891,0.295844831187871,0.86249802874357,0,6.25463356400328,3.98450383798377e-10,8.47914050310794e-09,1.09954368606548,1
"PDK4",0.407015704586464,0.0144395235446017,3.146079883568,0.207413697439216,0.0160330925680946,3.3871523807708,0.000706221508595339,0.00260622555209981,1.09718625602459,1
"SERPINF1",0.646834930629946,0.00819494488876762,1.21137854539297,0.5456981621365,0,7.14529964671595,8.97948382316827e-13,4.05244382942179e-11,1.3052925722444,1
"PFKFB2",0.977157637651653,0.0560805426868566,11.2114121646148,0.00367682348748246,0.133645640229705,4.12627840593012,3.68680909905716e-05,0.000201888115089994,1.42775676615181,1
"PGM5",0.780546582923792,0.00826761162476263,0.248888777821431,0.882987363890183,0,8.58437721572997,0,0,1.66662025646036,1
"SERPINB9",0.737459156249667,0.00824259022073712,0.5255628952248,0.768909926049138,0,8.12280668231959,4.44089209850063e-16,4.09714456454706e-14,1.13377024699404,1
"PLAT",0.668367354999657,0.00820756535404473,0.421493289825287,0.809979253252138,0,7.37748023677451,1.61204383175573e-13,8.44569814323408e-12,1.02915132331147,1
"PLCB4",0.456944953088283,0.00811930112982861,1.49710182910513,0.473051548427221,0,5.07112785783599,3.95464959446201e-07,3.73602897851411e-06,1.14328184591575,1
"PLD2",0.720538564047957,0.00823900696205534,1.16787674349512,0.557697615190146,0,7.93815902347467,1.99840144432528e-15,1.66461130593884e-13,1.11347952391462,1
"POMC",-0.466486097574393,0.00811871495902681,1.52308696223963,0.466945149491758,0,-5.1772013798511,2.25239054740811e-07,2.28166066779486e-06,-1.07835744537425,1
"PRKY",0.441607450999191,0.00811176643176256,0.964825937584056,0.617292086752548,0,4.90318944891801,9.42929638592105e-07,8.00529140463431e-06,1.44170130966275,1
"PRPH",-0.72713957584686,0.00824264015217658,1.18583144523107,0.552713374135195,0,-8.00911652658249,1.11022302462516e-15,9.5761662899177e-14,-1.10392104243423,1
"PRRG1",-0.440238031116099,0.00810703423983701,0.0138933501315676,0.993077397308211,0,-4.88941109718108,1.01138085928376e-06,8.50588381177335e-06,-1.08902606058008,1
"LGMN",0.620212873529591,0.00949757059122574,2.22346856743555,0.3289879076624,0.00316711399905554,6.36406360349724,1.96484606362901e-10,4.50339010527046e-09,1.14587697796794,1
"ACP5",0.772468801238988,0.00826263366068066,0.0168815532314844,0.99159474672075,0,8.49809729510518,0,0,1.0522816423243,1
"KIF1A",-0.503752139664833,0.00813084418876083,0.402286821986884,0.817795142329985,0,-5.58661939046018,2.31532393257794e-08,3.07101701230106e-07,-1.05578497417219,1
"PTGER3",-0.431486383362924,0.00810464120592603,0.640695438773595,0.725896584869603,0,-4.79292020131444,1.64371017286058e-06,1.31117728505107e-05,-1.04512591773842,1
"PTGFRN",-0.605403245261823,0.00817533247322946,0.194336718835974,0.907403223393857,0,-6.69563903967048,2.14730455638801e-11,6.52039092158055e-10,-1.33481827586807,1
"PTGIR",0.77394274865379,0.00826418986968346,0.561978497016964,0.755036453204592,0,8.51351081897029,0,0,1.29421695756177,1
"AVPR1B",0.623935203319103,0.00818831512989025,1.19417866744881,0.550411370632135,0,6.89512614158646,5.38169508956798e-12,1.91338949562518e-10,1.00842674530903,1
"PTK2",1.16719517311306,0.0176639619295829,3.57475530718995,0.167398571637435,0.0233075128291818,8.78212112840899,0,0,2.30595533360424,1
"PTPRF",-0.640629370093247,0.00819889923218656,1.72845759767589,0.421376393316651,0,-7.07504279150611,1.49391610193561e-12,6.25770546491822e-11,-1.18076918450815,1
"PTPRG",-0.419824480631277,0.00810086750247586,0.201034461941532,0.904369529113595,0,-4.66446667812189,3.09418463428912e-06,2.31539678716799e-05,-1.06650376228481,1
"PTPRM",0.519452743508601,0.00813710261998802,0.0972442640682637,0.952540996431895,0,5.75852355731439,8.4852826987003e-09,1.26085592149801e-07,1.19532598223863,1
"AZU1",-0.597244854195498,0.0180391234165197,3.79797931256259,0.149719811302705,0.0254284542450089,-4.44677035459242,8.71709394689724e-06,5.68287470768878e-05,-1.43906006848832,1
"PVR",-0.819736201199906,0.0554640970216539,11.2235651958014,0.00365454895653292,0.132281442966603,-3.48071240772762,0.000500082131424717,0.00193206923662287,-1.054630342668,1
"NECTIN1",-0.979878323938004,0.00840497533946427,0.230515724710627,0.891136323765771,0,-10.6881841773268,0,0,-1.31144095207457,1
"RAG2",0.588391458401526,0.00816624243824575,0.556892344323798,0.756959012120459,0,6.51111288625724,7.45961070691692e-11,1.91517242909626e-09,1.05299700424341,1
"REN",-0.529908265424755,0.00814116982590361,0.0351428457115971,0.98258205434245,0,-5.87296329361433,4.28073287928044e-09,6.94880213599899e-08,-1.17178869054329,1
"RNASE3",-0.566697420952176,0.0230406146155421,4.77879039624416,0.0916851184441624,0.0392439877071051,-3.73339727580542,0.000188914262160278,0.000832971324715781,-1.39912901743326,1
"CCND1",0.737548531652668,0.0152964653644899,3.25200913136964,0.196713963816008,0.0178621010241263,5.96341535028065,2.47019449339803e-09,4.28157254818823e-08,1.44122790192414,1
"RPS4Y1",0.434832529014649,0.00811045989553686,1.24990180642136,0.53528770878171,0,4.82835601340485,1.37664818122829e-06,1.11867444757994e-05,2.44079337559005,1
"S100A1",-0.556399112644272,0.00815274285127294,1.16832295602511,0.557573203237286,0,-6.16218250367423,7.17490955537414e-10,1.44260215984398e-08,-1.2122595526645,1
"S100B",-0.51436399559654,0.0134442959202816,2.94312926495444,0.229566017595927,0.0132832537837554,-4.4361020647174,9.16024291419681e-06,5.93845141239113e-05,-1.09961981415525,1
"SALL2",0.805866243105367,0.00828601482080726,1.4253445831815,0.490332134694399,0,8.85299280231895,0,0,1.34273936230282,1
"CLEC11A",-0.871392500224301,0.00832435515914401,0.310771193738333,0.856085010132309,0,-9.55077287292724,0,0,-1.85259231317821,1
"SCN3A",1.09954825641763,0.104910600621425,20.9170073704201,2.87031499975275e-05,0.27750477953821,3.39472506886094,0.000686975486487329,0.00254491920821774,2.48691688754026,1
"SCT",0.76546207476092,0.012962292645841,2.81799775074872,0.244387823393591,0.0117017268879724,6.72330428526454,1.77649006616321e-11,5.46326913385254e-10,1.12334240885293,1
"CCL1",-0.616942731372306,0.00817948225076162,0.325579966321928,0.849769635608256,0,-6.82153237608108,9.00746144338882e-12,2.98413103318816e-10,-1.70045261118957,1
"CCL23",-0.464092521648164,0.00811518336990105,0.147277630597114,0.929007176431708,0,-5.15175737534717,2.58056757962422e-07,2.5645563560411e-06,-1.11289976695404,1
"SECTM1",0.487375851991696,0.00812805841472032,0.821697537836254,0.663087203413577,0,5.4059322591848,6.44721618314748e-08,7.49450321385492e-07,1.00003136475283,1
"BDNF",-0.603904634195406,0.0186102146885985,3.91510636392723,0.141203497843988,0.0270702584023221,-4.42682822878752,9.56288233111557e-06,6.17899537857587e-05,-1.14788003106157,1
"SELENOP",-0.41443217929716,0.0081020557800115,0.740050502250731,0.690716889038388,0,-4.60421775402197,4.14019091565798e-06,2.98179658979972e-05,-1.23810597621722,1
"BIK",-1.0177870976291,0.00843238621032576,0.208038145233826,0.901208108860271,0,-11.0836217540492,0,0,-1.75369808155672,1
"SLC8A1",0.49701014356003,0.0081276812942414,0.0986917772786919,0.951851838015552,0,5.51292291091882,3.52922839841341e-08,4.40924564186574e-07,1.09035035413995,1
"SNRPN",0.590045863285114,0.00816645494278979,0.0121830200554158,0.993927005604371,0,6.52933550113903,6.60620447234805e-11,1.72888047744017e-09,1.01745881544879,1
"SPARC",0.731415763052722,0.0102950326548997,2.34968824240457,0.308867121771353,0.0049901603314388,7.20859209938391,5.6532556413913e-13,2.62444291352105e-11,1.46196148611448,1
"SPIB",0.65271372412881,0.0569307470779779,11.6493276010763,0.00295379705043698,0.137013692039497,2.7355792630762,0.00622705874121632,0.0167857185067005,1.09969747426257,1
"TBX1",-0.962800919118666,0.00839323777678892,0.56225574558484,0.754931794071235,0,-10.5092502288956,0,0,-1.96348307785534,1
"TCF4",1.00219878716538,0.0537591947886732,10.7146716842541,0.00471344676132307,0.126761989358632,4.32242528700928,1.5432335016996e-05,9.38494566302675e-05,1.44117379082941,1
"TFPI",0.486255705645869,0.00926781182167844,2.19507955298301,0.333691029174486,0.00274471541571615,5.0509853254861,4.39536840923793e-07,4.10187485924848e-06,1.02819359180578,1
