#node1,node2
ABCA6,FOXO1
ABCA6,ABCA9
ABCG2,CCND1
ABCG2,PXDN
ABCG2,EPCAM
ABCG2,CD34
ABCG2,CYP2B6
ABCG2,NR1I2
ABCG2,ESR1
ABCG2,PROM1
ABCG2,CYP2E1
ABCG2,CYP1B1
ABO,FUT6
ABO,PTK2
ACP5,ESR1
ACP5,BLNK
ACP5,PXDN
ADAMTS1,VCAN
ADAMTS1,TIMP3
ADAMTS1,FN1
ADAMTS10,COL8A2
ADAMTS14,SEC16B
ADAMTS3,MMP2
ADAMTS3,VCAN
ADAMTS3,TIMP3
ADAMTS3,MDK
ADAMTS3,FN1
ADCY1,GNG11
ADCY1,PDE9A
ADCY1,AKT3
ADCY1,GNAI1
ADRB1,REN
ADRB1,AGT
ADRB1,ESR1
ADRB1,GRK5
ADRB1,GNAI1
ADRB1,POMC
AGT,CTSG
AGT,MMP2
AGT,PLAT
AGT,MPO
AGT,CCL1
AGT,GNG11
AGT,PXDN
AGT,PPARGC1A
AGT,REN
AGT,GJA1
AGT,APP
AGT,S100B
AGT,CCR2
AGT,CXCL16
AGT,F2RL1
AGT,C3AR1
AGT,TRH
AGT,P2RY14
AGT,HTR1F
AGT,NOS2
AGT,FN1
AGT,PTGER3
AGT,SUCNR1
AGT,ESR1
AGT,GNAI1
AGT,GPX3
AGT,RXFP1
AGT,BDNF
AGT,GRK5
AGT,AVPR1B
AGT,GPER1
AGT,POMC
AGT,LPAR6
AGT,LPAR4
AGXT,PFKFB2
AGXT,GPT2
AKT3,CCND1
AKT3,GNG11
AKT3,NOS2
AKT3,PFKFB2
AKT3,FOXO1
ANO7,AR
ANO7,PTPRF
AOC1,MAOA
AOX1,CYP2B6
AOX1,MAOA
AOX1,CYP2E1
APCDD1,LPAR6
APP,CETP
APP,MMP2
APP,PLAT
APP,LRP1
APP,GNG11
APP,PXDN
APP,SERPINF1
APP,LRP6
APP,CYP46A1
APP,WNT5A
APP,PPARGC1A
APP,TGFBI
APP,NEFH
APP,MAOA
APP,MAP1LC3A
APP,GAS6
APP,OPTN
APP,DHCR24
APP,H1-0
APP,GRK5
APP,C3AR1
APP,TSPAN15
APP,MSR1
APP,EPHB2
APP,S100B
APP,FN1
APP,CNTN1
APP,BDNF
APP,SPON1
APP,TNFRSF21
AR,CCND1
AR,KRT5
AR,PXDN
AR,EPCAM
AR,PPARGC1A
AR,REN
AR,SMAD1
AR,KDM5D
AR,FLNC
AR,KCNH8
AR,ZNF521
AR,GLI3
AR,BDNF
AR,KRT18
AR,GPER1
AR,WWTR1
AR,KRT8
AR,FLNB
AR,FOXO1
AR,ESR1
ARTN,SHANK3
ARTN,BDNF
ATP10A,SNRPN
AVPR1B,REN
AVPR1B,GRK5
AVPR1B,POMC
AZU1,CTSG
AZU1,MPO
AZU1,S100A1
AZU1,SELENOP
AZU1,MDK
AZU1,RNASE3
BAALC,CCNA1
BAALC,MN1
BAALC,CD34
BCAR3,FNBP1L
BCAR3,ESR1
BCL2L14,LRP6
BDNF,EFNB1
BDNF,PLAT
BDNF,MPO
BDNF,IL10RA
BDNF,LRP1
BDNF,PXDN
BDNF,PPARGC1A
BDNF,S100B
BDNF,SEC16B
BDNF,NEFH
BDNF,FGFR3
BDNF,MAOA
BDNF,FN1
BDNF,DNTT
BDNF,GPX3
BDNF,POMC
BDNF,ESR1
BDNF,FGFR2
BDNF,SHANK3
BDNF,KIF1A
BLNK,DNTT
BLNK,SPIB
BLNK,IRF8
BLNK,RAG2
BLNK,EBF1
BLNK,IGLL1
C3AR1,CXCL16
C3AR1,LILRB4
C3AR1,CLEC7A
C3AR1,MX1
C3AR1,FCN1
C3AR1,GPER1
C3AR1,MSR1
C3AR1,RNASE3
C3AR1,POMC
CACNA1H,CACNG4
CACNA1H,SCN3A
CACNA1H,CACNB2
CACNA1H,RASGRP3
CACNB2,GNG11
CACNB2,CACNG4
CACNB2,SCN3A
CACNB2,IRX5
CACNB2,GNAI1
CACNB2,RASGRP3
CACNG4,RASGRP3
CALCRL,RXFP1
CCDC169,SOHLH2
CCL1,CCL23
CCL1,CXCL16
CCL1,CCR2
CCL23,GNG11
CCL23,CCR2
CCL23,CXCL16
CCL23,GRK5
CCNA1,CCND1
CCNA1,PXDN
CCNA1,S100B
CCNA1,ESR1
CCNA1,FOXO1
CCNA1,PTK2
CCNA1,H1-0
CCND1,MMP2
CCND1,KRT5
CCND1,GLI3
CCND1,TCF4
CCND1,EPCAM
CCND1,KRT8
CCND1,KRT18
CCND1,HMGA2
CCND1,CD34
CCND1,PTK2
CCND1,GJA1
CCND1,DNTT
CCND1,PROM1
CCND1,LRP6
CCND1,FGFR3
CCND1,WNT5A
CCND1,FGFR2
CCND1,TWIST1
CCND1,FN1
CCND1,PXDN
CCND1,FOXO1
CCND1,ESR1
CCR2,MPO
CCR2,IL10RA
CCR2,CLEC10A
CCR2,IRF8
CCR2,IL1R2
CCR2,CD48
CCR2,PTGER3
CCR2,HLA-DQB1
CCR2,FN1
CCR2,HLA-DRB1
CCR2,CD34
CCR2,MSR1
CCR2,NOS2
CCR2,CLEC7A
CCR2,CD1C
CCR2,IL15
CCR2,IL2RA
CCR2,GRK5
CCR2,CXCL16
CCR2,GNAI1
CD109,CD34
CD109,CD248
CD14,S100A1
CD14,FCN1
CD14,DOCK1
CD1C,MPO
CD1C,CLEC4A
CD1C,CLEC10A
CD1C,NRP1
CD1C,IRF8
CD1C,LILRA4
CD1C,IL15
CD1C,CLEC7A
CD1C,CD34
CD1C,FN1
CD1C,CLEC9A
CD1C,CD1E
CD1C,HLA-DPA1
CD1C,LILRB4
CD1C,HLA-DRA
CD1C,NCR2
CD1C,DNTT
CD1C,CLEC4C
CD1E,MPO
CD1E,CLEC10A
CD1E,CD34
CD1E,FN1
CD1E,NCR2
CD1E,CLEC4C
CD1E,DNTT
CD200,IL10RA
CD200,EPCAM
CD200,CD96
CD200,TNFRSF21
CD200,CD34
CD248,COL6A2
CD248,FN1
CD300E,FCN1
CD34,MMP2
CD34,MPO
CD34,SPARC
CD34,KRT5
CD34,PXDN
CD34,EPCAM
CD34,TIMP3
CD34,IL15
CD34,NCR2
CD34,ZNF521
CD34,CLEC4C
CD34,KRT18
CD34,ESR1
CD34,KRT8
CD34,MLLT3
CD34,CD48
CD34,RAG2
CD34,DNTT
CD34,PROM1
CD34,FN1
CD48,IL10RA
CD48,IRF8
CD48,CD96
CD48,TMIGD2
CD48,NCR2
CD48,IL2RA
CD48,HLA-DRA
CD48,HLA-DMB
CD48,PVR
CD96,NECTIN1
CD96,CTSW
CD96,NCR2
CD96,IL15
CD96,PVR
CDH4,DCHS1
CEACAM19,PVR
CETP,MSR1
CHRNA6,CYP2B6
CHST15,VCAN
CIITA,HLA-DOA
CIITA,IRF8
CIITA,HLA-DQA1
CIITA,HLA-DRB1
CIITA,GBP4
CIITA,HLA-DMA
CIITA,HLA-DQA2
CIITA,HLA-DQB1
CIITA,HLA-DRA
CIITA,HLA-DPA1
CIITA,HLA-DQB2
CIITA,HLA-DMB
CIITA,HLA-DPB1
CIITA,SPIB
CLEC10A,CLEC4A
CLEC10A,IRF8
CLEC10A,HLA-DRA
CLEC10A,FCN1
CLEC10A,CLEC7A
CLEC1B,CLEC9A
CLEC4A,HLA-DRA
CLEC4A,IRF8
CLEC4A,FCN1
CLEC4A,LILRA4
CLEC4A,CLEC7A
CLEC4C,NRP1
CLEC4C,IRF8
CLEC4C,LILRA4
CLEC4C,NRP2
CLEC4C,TCF4
CLEC4C,SPIB
CLEC7A,FCN1
CLEC7A,MSR1
CLEC7A,IL1R2
CLEC7A,CLEC9A
CLEC7A,LSP1
CLEC9A,IRF8
CLEC9A,LILRA4
CLTCL1,EFNB1
CLTCL1,WNT5A
CLTCL1,GJA1
CLTCL1,TBX1
CLTCL1,KCNQ5
CLTCL1,MAP1LC3A
CLTCL1,EPHB1
CLTCL1,EPHB2
CLTCL1,TOM1L1
CMKLR1,HLA-DQA1
CMKLR1,HLA-DRB1
CMKLR1,HLA-DQA2
CMKLR1,MSR1
CNTN1,DTX4
CNTN1,GJA1
CNTN1,SCN3A
CNTN1,PCDHGC3
CNTN1,FN1
CNTN1,PTPRG
COBL,PACSIN1
COBLL1,PACSIN1
COL4A5,ITGA9
COL4A5,COL6A5
COL4A5,COL6A2
COL4A5,COL6A6
COL4A5,PTK2
COL4A5,COL8A2
COL6A2,MMP2
COL6A2,SPARC
COL6A2,ITGA9
COL6A2,COL6A5
COL6A2,TIMP3
COL6A2,LAMA3
COL6A2,TGFBI
COL6A2,MRC2
COL6A2,PTK2
COL6A2,COL8A2
COL6A2,COL6A6
COL6A2,FN1
COL6A5,ITGA9
COL6A5,COL8A2
COL6A5,COL6A6
COL6A5,PTK2
COL6A6,ITGA9
COL6A6,PTK2
COL6A6,COL8A2
COL8A2,CYYR1
COL8A2,FN1
COL8A2,TCF4
CRHBP,POMC
CT45A1,SAGE1
CT45A1,CT45A5
CT45A5,SAGE1
CTSG,REN
CTSG,FN1
CTSG,SERPINF1
CTSG,PXDN
CTSG,PRSS57
CTSG,TFPI
CTSG,TPSAB1
CTSG,PARD3
CTSG,F2RL1
CTSG,RNASE3
CTSG,SERPINB9
CTSG,MPO
CTSW,LGMN
CXCL16,IRF8
CXCL16,ZMYND15
CXCL16,IL15
CYP1B1,CYP7B1
CYP1B1,CYP2B6
CYP1B1,NR1I2
CYP1B1,LMX1B
CYP1B1,OPTN
CYP1B1,ESR1
CYP1B1,FOXC1
CYP2B6,CYP7B1
CYP2B6,GPX3
CYP2B6,NR1I2
CYP2B6,CYP2E1
CYP2E1,CYP46A1
CYP2E1,NR1I2
CYP2E1,GPT2
CYP2E1,GPX3
CYP46A1,CYP7B1
CYP46A1,DHCR24
CYP7B1,FOXO1
CYP7B1,DHCR24
CYP7B1,NR1I2
CYP7B1,NR5A2
DACH1,ESR1
DACH1,EYA1
DDR1,TM4SF1
DDR1,FGFR2
DDX3Y,ZFY
DDX3Y,RPS4Y1
DDX3Y,TMSB4Y
DDX3Y,KDM5D
DDX3Y,USP9Y
DDX3Y,HNRNPU
DDX3Y,PRKY
DDX3Y,UTY
DDX3Y,EIF1AY
DES,PRPH
DES,S100B
DES,FLNC
DLG3,MPP6
DLG3,NECTIN1
DLG3,KCNA3
DLG3,PVR
DLG3,SHANK3
DLG3,DLGAP2
DLGAP2,DPP10
DLGAP2,SHANK3
DLK1,EPCAM
DLK1,SGCE
DLK1,FN1
DLK1,SNRPN
DNAAF4,ESR1
DNTT,MPO
DNTT,PXDN
DNTT,IGLL1
DNTT,RAG2
DOCK1,PLD2
DOCK1,DOCK6
DOCK1,WDR35
DOCK1,PTK2
DPP10,PCDH9
DPP10,KCNIP1
DSG2,VANGL1
DSG2,FLNC
DSG2,GJA1
DUSP27,XIRP2
EBF1,PPARGC1A
EBF1,IRF8
EBF1,TCF4
EBF1,IGLL1
EBF1,RAG2
EBF1,FOXO1
EBF1,SPIB
EBF1,ZNF521
EFNA1,EFNB1
EFNA1,FGFR3
EFNA1,FGFR2
EFNA1,EPHB1
EFNA1,EPHB2
EFNB1,NRP2
EFNB1,NRP1
EFNB1,SEMA3C
EFNB1,MMP2
EFNB1,EPHB1
EFNB1,EPHB2
EGFL7,SPRED1
EGFL7,ROBO4
EIF1AY,ZFY
EIF1AY,RPS4Y1
EIF1AY,TMSB4Y
EIF1AY,KDM5D
EIF1AY,USP9Y
EIF1AY,PPP1R26
EIF1AY,SELENOP
EIF1AY,PRKY
EIF1AY,UTY
ENAH,EPS8
ENAH,FGFR2
EPCAM,TWIST1
EPCAM,KRT5
EPCAM,PXDN
EPCAM,ESR1
EPCAM,FN1
EPCAM,KRT18
EPCAM,KRT8
EPCAM,PROM1
EPHB1,EPHB2
EPHB2,MMP2
EPHB2,UNC5C
EPS8,XIRP2
EPSTI1,IFITM3
EPSTI1,GBP4
EPSTI1,MX1
EPSTI1,IFI44L
ESR1,MMP2
ESR1,PLAT
ESR1,MPO
ESR1,IGFBP2
ESR1,TWIST1
ESR1,GNG11
ESR1,KRT5
ESR1,PXDN
ESR1,PPARGC1A
ESR1,KRT17
ESR1,FGFR3
ESR1,PTK2
ESR1,FN1
ESR1,NR5A2
ESR1,FOXO1
ESR1,KRT18
ESR1,TRPS1
ESR1,GPER1
ESR1,POMC
ESR1,MDK
ESR1,RXFP1
ESR1,KIF1A
ESR1,FHL1
ESR1,FOXC1
ESR1,KRT8
ESR1,GNAI1
ESR1,FGFR2
EYA1,HOXA11
F2RL1,TRH
F2RL1,GRK5
FAM171A1,PCDHGB1
FANK1,FN1
FCN1,MPO
FCN1,VCAN
FCN1,FN1
FCN1,HLA-DRA
FGFR2,TWIST1
FGFR2,FGFR3
FGFR2,FN1
FGFR2,SPRY2
FGFR2,PLCB4
FGFR2,LSP1
FGFR3,TWIST1
FGFR3,PLCB4
FHL1,KCNA5
FLNB,ITGA9
FLNB,NPR3
FLNB,FLNC
FLNB,FN1
FLNB,MYLK
FLNC,ITGA9
FLNC,FN1
FLNC,PGM5
FLNC,XIRP2
FN1,MMP2
FN1,MMP15
FN1,PLAT
FN1,MPO
FN1,SPARC
FN1,TWIST1
FN1,LRP1
FN1,KRT5
FN1,PXDN
FN1,SERPINF1
FN1,WNT5A
FN1,ITGA9
FN1,VCAN
FN1,NRP1
FN1,TIMP3
FN1,REN
FN1,GJA1
FN1,ROBO4
FN1,KRT17
FN1,GAS6
FN1,PTK2
FN1,PTGER3
FN1,KRT8
FN1,KRT18
FN1,PTPRM
FN1,PROM1
FN1,LMLN
FN1,TGFBI
FNBP1L,SRGAP3
FOXC1,TWIST1
FOXC1,LMX1B
FOXC1,TPPP
FOXO1,PDK4
FOXO1,HOXA11
FOXO1,MMP2
FOXO1,TWIST1
FOXO1,PXDN
FOXO1,PPARGC1A
FOXO1,NR1I2
FOXO1,KLF9
FOXO1,GPX3
FOXO1,RAG2
FOXO1,POMC
GBP4,ISG20
GBP4,MX1
GBP4,IFI44L
GJA1,MMP2
GJA1,PLAT
GJA1,SPARC
GJA1,GJA3
GJA1,KCNA5
GJA1,PXDN
GJA1,S100B
GJA1,SCN3A
GJA3,WFS1
GLI3,TWIST1
GLI3,RAB23
GNAI1,MMP15
GNAI1,RASD1
GNAI1,GNG11
GNAI1,HTR1F
GNAI1,PTGER3
GNAI1,SUCNR1
GNAI1,PLCB4
GNAI1,POMC
GNAI1,RXFP1
GNG11,SCT
GNG11,RASD1
GNG11,POMC
GNG11,GPER1
GNG11,PTGIR
GNG11,WNT5A
GNG11,GRK5
GNG11,PTGER3
GNG11,PLCB4
GNG11,HTR1F
GPC4,HS3ST1
GPC4,LRP6
GPC4,WNT5A
GPC4,VCAN
GPC4,NDST3
GPC4,PTPRF
GPC4,GPC6
GPC6,HS3ST1
GPC6,VCAN
GPC6,NDST3
GPER1,PTK2
GPER1,POMC
GPT2,PPP1R16B
GPT2,GPX3
GPX3,MPO
GPX3,PXDN
GPX3,SERPINF1
GPX3,PPARGC1A
GPX3,REN
GPX3,TRH
GPX3,NOS2
GPX3,MAOA
GPX3,SELENOP
GRID1,PRSS57
GRK5,TRH
GRK5,LPAR6
GRK5,LPAR4
GXYLT2,POGLUT2
H1-0,HNRNPU
H1-0,MACROH2A2
HEMGN,STK32B
HLA-DMA,HLA-DOA
HLA-DMA,IRF8
HLA-DMA,HLA-DQA1
HLA-DMA,HLA-DRB1
HLA-DMA,HLA-DQA2
HLA-DMA,HLA-DQB2
HLA-DMA,HLA-DRB5
HLA-DMA,HLA-DQB1
HLA-DMA,HLA-DPB1
HLA-DMA,HLA-DRA
HLA-DMA,HLA-DPA1
HLA-DMA,HLA-DMB
HLA-DMB,SLC15A3
HLA-DMB,HLA-DOA
HLA-DMB,IRF8
HLA-DMB,HLA-DQA1
HLA-DMB,HLA-DRB1
HLA-DMB,HLA-DQA2
HLA-DMB,HLA-DQB1
HLA-DMB,HLA-DRB5
HLA-DMB,HLA-DRA
HLA-DMB,HLA-DPA1
HLA-DMB,HLA-DQB2
HLA-DMB,HLA-DPB1
HLA-DOA,HLA-DQA1
HLA-DOA,HLA-DQA2
HLA-DOA,HLA-DQB2
HLA-DOA,HLA-DRB5
HLA-DOA,HLA-DQB1
HLA-DOA,HLA-DRB1
HLA-DOA,HLA-DRA
HLA-DOA,HLA-DPA1
HLA-DOA,HLA-DPB1
HLA-DPA1,IL10RA
HLA-DPA1,IRF8
HLA-DPA1,HLA-DQA1
HLA-DPA1,HLA-DRB1
HLA-DPA1,HLA-DQA2
HLA-DPA1,HLA-DQB1
HLA-DPA1,HLA-DRB5
HLA-DPA1,LGMN
HLA-DPA1,HLA-DRA
HLA-DPA1,HLA-DQB2
HLA-DPA1,HLA-DPB1
HLA-DPB1,HLA-DQA1
HLA-DPB1,HLA-DRB1
HLA-DPB1,HLA-DQA2
HLA-DPB1,HLA-DQB1
HLA-DPB1,HLA-DRB5
HLA-DPB1,LGMN
HLA-DPB1,HLA-DRA
HLA-DPB1,MDK
HLA-DPB1,HLA-DQB2
HLA-DQA1,LGMN
HLA-DQA1,HLA-DQA2
HLA-DQA1,HLA-DRA
HLA-DQA1,HLA-DQB2
HLA-DQA1,HLA-DRB5
HLA-DQA1,HLA-DRB1
HLA-DQA1,HLA-DQB1
HLA-DQA2,TNFRSF21
HLA-DQA2,HLA-DRB1
HLA-DQA2,LGMN
HLA-DQA2,HLA-DRA
HLA-DQA2,HLA-DRB5
HLA-DQA2,HLA-DQB2
HLA-DQA2,HLA-DQB1
HLA-DQB1,HLA-DRB1
HLA-DQB1,LGMN
HLA-DQB1,HLA-DQB2
HLA-DQB1,HLA-DRB5
HLA-DQB1,HLA-DRA
HLA-DQB2,HLA-DRB1
HLA-DQB2,HLA-DRB5
HLA-DQB2,LGMN
HLA-DQB2,HLA-DRA
HLA-DRA,IL10RA
HLA-DRA,IRF8
HLA-DRA,LILRA4
HLA-DRA,ISG20
HLA-DRA,TPSAB1
HLA-DRA,HLA-DRB1
HLA-DRA,HLA-DRB5
HLA-DRA,LILRB4
HLA-DRA,LGMN
HLA-DRB1,IRF8
HLA-DRB1,ISG20
HLA-DRB1,LGMN
HLA-DRB1,IL2RA
HLA-DRB1,HLA-DRB5
HLA-DRB5,LGMN
HMGA2,TWIST1
HMGA2,VCAN
HMGA2,SMAD1
HMGA2,KRT8
HOXA11,PTGER3
HOXA11,MMP2
HOXB7,HOXB8
HOXB7,NR5A2
HOXB7,HOXB9
HOXB8,SLITRK5
HOXB8,HOXB9
HOXB9,RBPMS
IFI44L,ISG20
IFI44L,PPP1R26
IFI44L,IFITM3
IFI44L,MX1
IFITM3,IRF8
IFITM3,ISG20
IFITM3,MX1
IFNLR1,IL10RA
IFNLR1,IL15
IFNLR1,MX1
IGFBP2,PCSK6
IGFBP2,PPARGC1A
IGLL1,TFPI
IGLL1,NECTIN1
IGLL1,PVR
IGLL1,RAG2
IL10RA,IRF8
IL10RA,IL1R2
IL10RA,IL2RA
IL10RA,IL15
IL12RB2,IL2RA
IL12RB2,IL15
IL15,PVR
IL15,IL1R2
IL15,RAG2
IL15,NCR2
IL15,IL2RA
IL1R2,MMP2
IL1R2,NOS2
IL1R2,IL2RA
IL2RA,IRF8
IL2RA,REN
IL2RA,RAG2
IRF8,MX1
IRF8,TCF4
IRF8,SPIB
IRX3,IRX5
ISG20,MX1
ITGA9,LAMA3
ITGA9,PTK2
ITPKA,SV2B
ITPKA,PLCB4
JAKMIP2,PTK2
KCNA3,RPS4Y1
KCNA3,KCNA5
KCNA5,RPS4Y1
KCNA5,KCNIP1
KCNK10,PLD2
KCNQ5,RPS4Y1
KDM5D,ZFY
KDM5D,RPS4Y1
KDM5D,TMSB4Y
KDM5D,NR1I2
KDM5D,PRKY
KDM5D,USP9Y
KDM5D,UTY
KIF1A,RETREG1
KIF1A,UNC13B
KRT17,KRT5
KRT17,KRT8
KRT17,KRT18
KRT18,KRT5
KRT18,PXDN
KRT18,PROM1
KRT18,KRT8
KRT5,PROM1
KRT5,LAMA3
KRT5,PXDN
KRT5,KRT8
KRT8,TWIST1
KRT8,PXDN
KRT8,PROM1
LAMA3,MMP2
LAMA3,PLAT
LAMA3,MMP19
LAMA3,NTNG2
LAMA3,SV2B
LAMA3,PTK2
LANCL3,PRRG1
LHX6,LMX1B
LHX6,SALL2
LILRA4,SPIB
LILRA4,LILRB4
LPAR4,LPAR6
LPAR6,PTGER3
LRP1,MMP2
LRP1,PLAT
LRP1,MDK
LRP6,SERPINF1
LRP6,PTPRF
LRP6,SOSTDC1
LRP6,MDK
LRP6,WNT5A
LRP6,WNT7B
MACROD2,MACROH2A2
MAMDC2,PTPRM
MAN1A1,UGGT2
MAOA,PDK4
MAOA,PXDN
MAOA,POMC
MAP1LC3A,PXDN
MAP1LC3A,RETREG1
MAP1LC3A,PRSS57
MAP1LC3A,OPTN
MDFI,SPRY1
MDK,MMP2
MDK,WNT5A
MGAT5B,RBPMS
MMP15,TIMP3
MMP19,MMP2
MMP19,TIMP3
MMP2,MPO
MMP2,PROM1
MMP2,REN
MMP2,WNT5A
MMP2,VCAN
MMP2,POMC
MMP2,NRP1
MMP2,TGFBI
MMP2,PTK2
MMP2,PLAT
MMP2,TWIST1
MMP2,PXDN
MMP2,SPARC
MMP2,TIMP3
MMP28,TIMP3
MPO,PLAT
MPO,NOS2
MPO,PRSS57
MPO,RNASE3
MPP6,PVR
MPP6,NECTIN1
MST1R,SEMA6A
MYLK,SLC2A10
NCR2,PVR
NECTIN1,PVR
NECTIN1,PARD3
NEFH,PRPH
NEFH,S100B
NEFH,OPTN
NEURL1B,PDE9A
NOS2,PXDN
NOS2,REN
NOS2,SPSB4
NPR3,REN
NPTX1,SGCE
NR1I2,ZFY
NR1I2,PPARGC1A
NR1I2,NR5A2
NR1I2,USP9Y
NR1I2,UTY
NR5A2,PPARGC1A
NRP1,SEMA6A
NRP1,SEMA3C
NRP1,TBX1
NRP1,NRP2
NRP1,PLXNA4
NRP2,SEMA6A
NRP2,SEMA3C
NRP2,PLXNA4
NTNG2,UNC5C
OPTN,RETREG1
P2RY14,PTGER3
PARD3,WNT5A
PAWR,SPSB4
PCDHB2,PCDHGB2
PCDHGB1,PCDHGB2
PCDHGB2,PCDHGB7
PCDHGB2,PCDHGB6
PDK4,PPARGC1A
PGM5,SGCE
PLAT,PXDN
PLAT,REN
PLAT,TFPI
PLAT,SERPINF1
PLXNA4,SEMA6A
PLXNA4,SEMA3C
POMC,SCT
POMC,PXDN
POMC,PPARGC1A
POMC,REN
POMC,TRH
PPARGC1A,TFPI
PPARGC1A,TWIST1
PPARGC1A,PXDN
PPARGC1A,TMIGD2
PPARGC1A,SNRPN
PPARGC1A,TBX1
PPP1R26,RPS4Y1
PPP1R26,PPP1R27
PPP1R26,UTY
PPP1R26,SELENOP
PPP1R9A,SGCE
PRKY,ZFY
PRKY,RPS4Y1
PRKY,TMSB4Y
PRKY,USP9Y
PRKY,UTY
PROM1,TWIST1
PROM1,PXDN
PROM1,TCF4
PTGFRN,TSPAN15
PTK2,PXDN
PTK2,UNC5C
PTPRF,VCAN
PXDN,SPARC
PXDN,TWIST1
PXDN,SPON1
PXDN,REN
RAB23,WDR35
RASAL1,SPRED1
RASAL1,RASAL2
RASAL2,SPRED1
RASAL2,SEC16B
RBPMS,RBPMS2
REN,SUCNR1
ROBO4,SPRED1
RPH3A,UNC13B
RPS4Y1,ZFY
RPS4Y1,SELENOP
RPS4Y1,TMSB4Y
RPS4Y1,UTY
RPS4Y1,USP9Y
S100A1,S100B
S100A1,S100A16
S100A1,SLC8A1
SELENOP,TIMP3
SERPINF1,TFPI
SERPINF1,TIMP3
SGCE,SNRPN
SMOC1,SPARC
SPARC,VCAN
SPARC,SPRY2
SPARC,TIMP3
SPARC,SPRY1
SPARC,TGFBI
SPIB,TCF4
SPRED1,SPRY2
SPRY1,SPRY2
TCF4,TWIST1
TGFBI,VCAN
TMSB4Y,ZFY
TMSB4Y,USP9Y
TMSB4Y,UTY
TNFRSF19,TNFRSF21
TPSAB1,TPSD1
TPSAB1,TPSB2
TPSB2,TPSD1
TWIST1,WNT5A
USP9Y,ZFY
USP9Y,UTY
UTY,ZFY
VANGL1,WNT5A
WNT5A,WNT7B
WWTR1,ZNF521
,
